location,東京,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
行ラベル,合計 / 開発エンジニア,合計 / SE,合計 / WEBシステム開発エンジニア,合計 / WEBエンジニア,合計 / テックリードPM,合計 / 開発マネージャー,合計 / 社内SE,合計 / アプリケーション開発エンジニア,合計 / プロジェクト,合計 / アプリエンジニア,合計 / プロジェクトリーダー,合計 / サーバーサイドエンジニアリーダープロダクト開発,合計 / データエンジニアPM,合計 / バックエンドエンジニア,合計 / サーバサイドエンジニア
599,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0
650,100,0,0,94,0,101,0,298,91,0,0,0,0,97,0
700,0,0,0,0,0,0,87,0,0,0,0,0,0,0,93
702,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0
800,0,0,95,0,0,0,0,0,0,0,105,0,0,0,0
900,92,0,0,0,0,0,0,0,0,0,0,86,0,0,0
1200,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0
総計,192,103,95,94,0,101,87,298,91,0,105,86,89,196,93
,,,,,,,,,,,,,,,
平均値,770 ,702 ,800 ,650 ,0 ,650 ,700 ,650 ,650 ,0 ,800 ,900 ,1200 ,624 ,700 
